off_39C36310 CSAskRiskyTeamAction_0x069
off_39C3631C CSTeamAcceptHandOverOwner_0x0C1
off_39C36328 CSTeamAcceptOwnerOffer_0x03A
off_39C36448 CSChangeLootingRule_0x02E
off_39C36A54 CSRenameCharacter_0x0AC
off_39C36A60 CSUpdateActionSlot_0x162
off_39C36A6C CSUsePortal_0x171
off_39C36A78 CSUpgradeExpertLimit_0x199
off_39C36A84 CSDowngradeExpertLimit_0x165
off_39C36A90 CSExpandExpert_0x147
off_39C36A9C CSEnterSysInstance_0x0C2
off_39C36AA8 CSEndPortalInteraction_0x181
off_39C36B84 CSCreateShipyard_0x0E2
off_39C36BC0 CSCreateHouse_0x075
off_39C36DF8 CSLeaveBeautyshop_0x100
off_39C38CDC CSConstructHouseTax_0x194
off_39C38CE8 CSChangeHouseName_0x0E8
off_39C38CF4 CSChangeHousePermission_0x0BF
off_39C38D00 CSRequestHouseTax_0x006
off_39C38D0C CSPerpayHouseTax_0x0B7
off_39C38D18 CSAllowRecover_0x0CA
off_39C38D24 CSSellHouseCancel_0x189
off_39C38D94 CSDecorateHouse_0x064
off_39C38DA8 CSSellHouse_0x0C4
off_39C38DB4 CSBuyHouse_0x167
off_39C3909C CSRotateHouse_0x019
off_39C392D8 CSRemoveMate_0x08A
off_39C392E4 CSChangeMateTarget_0x00F
off_39C392F0 CSChangeMateUserState_0x0F4
off_39C39510 CSDespawnSlave_0x144
off_39C3951C CSDestroySlave_0x0A8
off_39C39528 CSBindSlave_0x0ED
off_39C3983C CSBoardingTransfer_0x06A
off_39C39848 CSTurretState_0x17F
off_39C39854 CSCreateSkillController_0x044
off_39C39860 CSJoinTrialAudience_0x0E7
off_39C3986C CSLeaveTrialAudience_0x0D5
off_39C39878 CSUnmountMate_0x0F2
off_39C39884 CSUnbond_0x0D5
off_39C3A698 CSInstanceLoaded_0x015
off_39C3A6A4 CSApplyToInstantGame_0x124
off_39C3A6B0 CSCancelInstantGame_0x060
off_39C3A6BC CSJoinInstantGame_0x18C
off_39C3A6C8 CSEnteredInstantGameWorld_0x0AE
off_39C3A6D4 CSLeaveInstantGame_0x19F
off_39C3A6E0 CSPickBuffInstantGame_0x08B
off_39C3A6EC CSBattlefieldPickship_0x157
off_39C3AD84 CSRequestPermissionToPlayCinemaForDirectingMode_0x1A4
off_39C3AD90 CSStartQuestContext_0x083
off_39C3AD9C CSCompleteQuestContext_0x0E5
off_39C3ADA8 CSDropQuestContext_0x145
off_39C3ADB4 CSQuestTalkMade_0x096
off_39C3ADC0 CSQuestStartWithParam_0x0E9
off_39C3ADCC CSTryQuestCompleteAsLetItDone_0x040
off_39C3ADD8 CSRestartMainQuest_0x1A7
off_39C3B488 CSLearnSkill_0x118
off_39C3B494 CSLearnBuff_0x0C8
off_39C3B4A0 CSResetSkills_0x0E2
off_39C3B4AC CSSwapAbility_0x06D
off_39C3B4B8 CSSelectHighAbility_0x17A
off_39C3B5F4 CSRemoveBuff_0x049
off_39C3B7B8 CSStopCasting_0x01C
off_39C3B920 CSDeletePortal_0x0A9
off_39C3B92C CSIndunDirectTel_0x12E
off_39C3BAA4 CSSetForceAttack_0x03C
off_39C3BAB0 CSStartSkill_0x024
off_39C3BAC8 CSStopLooting_0x0A6
off_39C3C2DC CSCreateDoodad_0x0E1
off_39C3CCD0 CSNaviTeleport_0x15B
off_39C3CCDC CSNaviOpenPortal_0x188
off_39C3CCE8 CSNaviOpenBounty_0x196
off_39C3CCF8 CSSetLogicDoodad_0x120
off_39C3CD04 CSCleanupLogicLink_0x16A
off_39C3CDF8 CSSelectInteractionEx_0x078
off_39C3CE04 CSChangeDoodadData_0x0D8
off_39C3D12C CSBuyItems_0x166
off_39C3D38C CSInteractNpc_0x046
off_39C3D398 CSInteractNpcEnd_0x174
off_39C3D3A4 CSStartInteraction_0x04C
off_39C3D450 CSBeautyshopBypass_0x063
off_39C3D75C CSJoinUserChatChannel_0x092
off_39C3D768 CSLeaveChatChannel_0x002
off_39C3D774 CSSendChatMessage_0x129
off_39C3D780 CSRollDice_0x05D
off_39C3DAFC CSSendMail_0x10A
off_39C3DB08 CSListMail_0x03D
off_39C3DB14 CSListMailContinue_0x080
off_39C3DB20 CSReadMail_0x153
off_39C3DB2C CSTakeAttachmentMoney_0x093
off_39C3DB38 CSTakeAttachmentSequentially_0x02D
off_39C3DB44 CSPayChargeMoney_0x007
off_39C3DB50 CSDeleteMail_0x062
off_39C3DB5C CSReportSpam_0x17E
off_39C3DB68 CSReturnMail_0x12D
off_39C3DB74 CSTakeAllAttachmentItem_0x0F8
off_39C3DB80 CSTakeAttachmentItem_0x105
off_39C400C8 CSActiveWeaponChanged_0x0F5
off_39C440C8 CSRequestExpandAbilitySetSlot_0x00C
off_39C440D4 CSSaveAbilitySet_0x08E
off_39C440E0 CSDeleteAbilitySet_0x110
off_39C45158 CSRepairSlaveItems_0x0FE
off_39C45164 CSRepairPetItems_0x135
off_39C494E0 CSFactionIssuanceOfMobilizationOrder_0x0D1
off_39C494EC CSGetExpeditionMyRecruitments_0x0AB
off_39C494F8 CSExpeditionRecruitmentAdd_0x091
off_39C49504 CSExpeditionRecruitmentDelete_0x192
off_39C49510 CSGetExpeditionApplicants_0x095
off_39C4951C CSExpeditionApplicantAdd_0x159
off_39C49528 CSExpeditionApplicantDelete_0x111
off_39C49534 CSExpeditionApplicantAccept0Ech_0x055
off_39C49540 CSExpeditionApplicantReject_0x125
off_39C4954C CSExpeditionSummon_0x08D
off_39C49558 CSExpeditionSummonReply_0x0DD
off_39C49564 CSInstantTime_0x0B8
off_39C4A56C CSSetHouseAllowRecover_0x099
off_39C4DAE4 CSRefreshBotCheckInfo_0x0A4
off_39C4DAF0 CSAnswerBotCheck_0x17B
off_39C4FD8C CSChangeSlaveName_0x0CC
off_39C5307C CSUseTeleport_0x057
off_39C53730 CSAuctionPost_0x19A
off_39C5373C CSAuctionSearch_0x0D6
off_39C53748 CSAuctionMyBidList_0x137
off_39C53754 CSAuctionLowestPrice_0x0A1
off_39C53760 CSAuctionSearchSoldRecord_0x10F
off_39C5376C CSAuctionCancel_0x011
off_39C537B0 CSAuctionBid_0x022
off_39C53838 CSExecuteCraft_0x07F
off_39C53844 CSSetLpManageCharacter_0x14E
off_39C538C4 CSSetCraftingPay_0x0C6
off_39C53EE4 CSDestroyItem_0x131
off_39C53EF0 CSSplitBagItem_0x119
off_39C53EFC CSSwapItems_0x0DE
off_39C53F08 CSSplitCofferItem_0x18A
off_39C53F14 CSSwapCofferItems_0x127
off_39C53F20 CSExpandSlots_0x122
off_39C53F2C CSDepositMoney_0x081
off_39C53F38 CSWithdrawMoney_0x18D
off_39C53F44 CSItemSecure_0x0C5
off_39C53F50 CSItemUnsecure_0x09C
off_39C53F5C CSEquipmentsSecure_0x0A2
off_39C53F68 CSEquipmentsUnsecure_0x0A7
off_39C53F74 CSRepairSingleEquipment_0x0F7
off_39C53F80 CSRepairAllEquipments_0x01D
off_39C53F8C CSChangeAutoUseAaPoint_0x115
off_39C53F98 CSThisTimeUnpack_0x1AF
off_39C53FA4 CSTakeScheduleItem_0x139
off_39C541CC CSChangeMateEquipment_0x0F3
off_39C54260 CSChangeSlaveEquipment_0x136
off_39C5444C CSLoginUccItems_0x04E
off_39C54494 CSLootOpenBag_0x0B5
off_39C544A0 CSLootItem_0x1A6
off_39C544AC CSLootCloseBag_0x054
off_39C544B8 CSLootDice_0x0A0
off_39C54500 CSSellItems_0x1A9
off_39C5450C CSListSoldItem_0x026
off_39C54518 CSSpecialtyCurrentLoad_0x00B
off_39C54538 CSStartTrade_0x050
off_39C54544 CSCanStartTrade_0x16E
off_39C54550 CSCannotStartTrade_0x13E
off_39C5455C CSCancelTrade_0x04D
off_39C54568 CSPutupTradeItem_0x038
off_39C54574 CSTakedownItem_0x14D
off_39C54580 CSTradeLock_0x152
off_39C5458C CSTradeOk_0x059
off_39C545F4 CSPutupTradeMoney_0x09F
off_39C54904 CSReportSpammer_0x073
